name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"COGENERACION LA RABIDA (DETISA)","GENERACION ELECTRICA PENINSULAR, S.A. (GEPESA)",,,"Palos de la Frontera",ES,49.9,"Natural gas",,,2010,,37.184143,-6.899786,,"Fossil fuels","Natural gas",,,,SEDE
"CERAMICA FUSTE","CERAMICA FUSTE, S.A.",,,Fondarella,ES,0.99,"Natural gas",,,2009,,,,,"Fossil fuels","Natural gas",,,,SEDE
"VILLAR DEL REY","HIDRO ENERGIA XANA, S.L.U.",,,"Villar del Rey",ES,1.638,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"EL PONT VELL","POLIGONO INDUSTRIAL CAN SEDO, S.A.",,,"Sant Fruitos de Bages",ES,0.18,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"SALES DE MONZON","SALES DE MONZON, S.A.",,,"Castejon del Puente",ES,14.365,"Natural gas",,,1996,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA TRATAM. PURINES DE FORADADA","FORADADA-ENERCORR XXI, S.L.U.",,,Foradada,ES,14.95,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"ELYO SANT JOAN","COFELY ENERGIA SANT JOAN, AIE",,,"Sant Joan de les Abadesses",ES,6.045,"Natural gas",,,2005,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA DE PURINES AGRUPACIO RAMADERS NOGUERA","AGRUPACIO DE RAMADERS LA NOGUERA, S.L.",,,Cubells,ES,15,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA TRATAMIENTO PURINES ALFARP","SINAE, ENERGIA Y MEDIO AMBIENTE, S.A.",,,Alfarp,ES,14.94,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CIUDAD DE LAS ARTES Y LAS CIENCIAS, S.A.","CIUDAD DE LAS ARTES Y LAS CIENCIAS, S.A.",,,Valencia,ES,3.864,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
NOGALES,"JUAN RAMON BARTOLOME SUALDEA",,,"Alar del Rey",ES,0.33,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"MUSA VII","MUSA MURCIANA DE AGUAS, S.A",,,Fortuna,ES,14.14,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
